Price,Close,High,Low,Open,Volume
Ticker,^N225,^N225,^N225,^N225,^N225
Date,,,,,
1980-08-12,6801.68017578125,6801.68017578125,6801.68017578125,6801.68017578125,0
1980-08-13,6834.31982421875,6834.31982421875,6834.31982421875,6834.31982421875,0
1980-08-14,6824.0,6824.0,6824.0,6824.0,0
1980-08-15,6836.81982421875,6836.81982421875,6836.81982421875,6836.81982421875,0
1980-08-18,6835.77978515625,6835.77978515625,6835.77978515625,6835.77978515625,0
1980-08-19,6864.5498046875,6864.5498046875,6864.5498046875,6864.5498046875,0
1980-08-20,6878.759765625,6878.759765625,6878.759765625,6878.759765625,0
1980-08-21,6853.68994140625,6853.68994140625,6853.68994140625,6853.68994140625,0
1980-08-22,6886.16015625,6886.16015625,6886.16015625,6886.16015625,0
1980-08-25,6922.990234375,6922.990234375,6922.990234375,6922.990234375,0
1980-08-26,6906.0498046875,6906.0498046875,6906.0498046875,6906.0498046875,0
1980-08-27,6930.66015625,6930.66015625,6930.66015625,6930.66015625,0
1980-08-28,6879.830078125,6879.830078125,6879.830078125,6879.830078125,0
1980-08-29,6914.080078125,6914.080078125,6914.080078125,6914.080078125,0
1980-09-01,6889.5400390625,6889.5400390625,6889.5400390625,6889.5400390625,0
1980-09-02,6915.39990234375,6915.39990234375,6915.39990234375,6915.39990234375,0
1980-09-03,6927.27001953125,6927.27001953125,6927.27001953125,6927.27001953125,0
1980-09-04,6917.56005859375,6917.56005859375,6917.56005859375,6917.56005859375,0
1980-09-05,6943.68994140625,6943.68994140625,6943.68994140625,6943.68994140625,0
1980-09-08,6938.419921875,6938.419921875,6938.419921875,6938.419921875,0
1980-09-09,6937.97998046875,6937.97998046875,6937.97998046875,6937.97998046875,0
1980-09-10,6956.2099609375,6956.2099609375,6956.2099609375,6956.2099609375,0
1980-09-11,6978.89013671875,6978.89013671875,6978.89013671875,6978.89013671875,0
1980-09-12,7000.0400390625,7000.0400390625,7000.0400390625,7000.0400390625,0
1980-09-16,7020.16015625,7020.16015625,7020.16015625,7020.16015625,0
1980-09-17,7031.509765625,7031.509765625,7031.509765625,7031.509765625,0
1980-09-18,7035.83984375,7035.83984375,7035.83984375,7035.83984375,0
1980-09-19,7041.66015625,7041.66015625,7041.66015625,7041.66015625,0
1980-09-22,7046.509765625,7046.509765625,7046.509765625,7046.509765625,0
1980-09-24,6972.6201171875,6972.6201171875,6972.6201171875,6972.6201171875,0
1980-09-25,6989.83984375,6989.83984375,6989.83984375,6989.83984375,0
1980-09-26,6998.52001953125,6998.52001953125,6998.52001953125,6998.52001953125,0
1980-09-29,7060.75,7060.75,7060.75,7060.75,0
1980-09-30,7076.4599609375,7076.4599609375,7076.4599609375,7076.4599609375,0
1980-10-01,7123.080078125,7123.080078125,7123.080078125,7123.080078125,0
1980-10-02,7119.39990234375,7119.39990234375,7119.39990234375,7119.39990234375,0
1980-10-03,7142.240234375,7142.240234375,7142.240234375,7142.240234375,0
1980-10-06,7155.97998046875,7155.97998046875,7155.97998046875,7155.97998046875,0
1980-10-07,7149.91015625,7149.91015625,7149.91015625,7149.91015625,0
